,T / h,1R1C_leicht_G,5R1C_leicht_G,1R1C_mittel_G,5R1C_mittel_G,1R1C_schwer_G,5R1C_schwer_G
0,24.0,0.2185984128852051,0.10742221361452448,0.1477057442016345,0.07294449915607722,0.0943526333882541,0.048038537137420574
1,25.0,0.2272451473563882,0.11173379056662461,0.15371773266774058,0.07580764747524395,0.09824707344223334,0.04982347681535919
2,26.0,0.23583838738902774,0.11604302705471815,0.15971256270298378,0.07867386522608256,0.1021368912421638,0.05161140337886925
3,27.0,0.2443770891171242,0.1203491794502413,0.16568967084776495,0.08154289810547331,0.10602198140673381,0.05340231461426767
4,28.0,0.2528590816828458,0.12465203868620385,0.1716487041131353,0.08441396829634334,0.10990219832704552,0.05519613469124438
5,29.0,0.26128305944647273,0.12895060160229413,0.17758907474045138,0.0872871121210272,0.11377736553545656,0.056992689980741466
6,30.0,0.26964787919335753,0.1332444326620146,0.18350978142206234,0.09016152767876395,0.11764728261436613,0.058791870082454414
7,31.0,0.27795219703924606,0.13753318510056037,0.1894108792372278,0.0930369016029716,0.12151181360119231,0.06059355233095331
8,32.0,0.2861945191755299,0.14181634450077826,0.1952911883454313,0.09591300902504374,0.12537102739703895,0.06239775246493978
9,33.0,0.29437371741595075,0.14609334063413165,0.20115079580419273,0.09878954168116402,0.1292243582235152,0.06420421730198901
10,34.0,0.30248891458942084,0.1503639546576711,0.2069888652625029,0.10166610513813834,0.13307196607581082,0.06601276940508216
11,35.0,0.31053890352510805,0.1546278770234339,0.21280484647192222,0.10454243825368773,0.13691342690327057,0.06782336575670796
12,36.0,0.31852252266447206,0.1588845929972941,0.21859825401204108,0.10741829015862127,0.14074890099658133,0.06963585881156634
13,37.0,0.3264389380575256,0.16313377596280582,0.22436854849151947,0.11029341960452131,0.1445779181541836,0.07144999209705417
14,38.0,0.3342872044545546,0.16737508856398378,0.2301155973316761,0.11316759427099893,0.14840040106371152,0.07326582183886823
15,39.0,0.34206633993041663,0.17160844367892533,0.235838564398636,0.11604065118565746,0.15221634675348347,0.07508302983828326
16,40.0,0.34977630167549834,0.17583331496949195,0.24153701142381906,0.11891244108294774,0.15602550539452595,0.07690160363530567
17,41.0,0.35741537631365844,0.18004933415285274,0.24721065012288146,0.1217826590705751,0.15982768622703653,0.07872133335764495
18,42.0,0.36498361701340754,0.18425650090435194,0.2528590382531347,0.12465109949596209,0.16362273891194934,0.08054217640029475
19,43.0,0.37248021901889944,0.18845429026396662,0.25848160195143877,0.12751781447591742,0.16741056605304208,0.08236390034730107
20,44.0,0.3799045267000531,0.1926426734783037,0.2640780162811859,0.1303824323174146,0.17119106764603692,0.08418655865278253
21,45.0,0.3872560509781483,0.1968211469303904,0.2696479127714083,0.13324491942612826,0.17496397216041643,0.08600987712985557
22,46.0,0.3945345600108563,0.20098964865589042,0.27519088680004294,0.1361050663662131,0.1787290804448762,0.08783382528262206
23,47.0,0.4017396556007063,0.20514796733736076,0.2807065040523678,0.1389628413742112,0.18248651649199632,0.08965834302403301
24,48.0,0.40887061153814885,0.209295761456479,0.2861943634300752,0.14181796176350614,0.1862358446149413,0.09148325424952393
25,49.0,0.41592775934331594,0.21343282740637226,0.29165445833745784,0.1446704550170562,0.18997716237231205,0.09330848158993103
26,50.0,0.4229104710449933,0.2175589485806168,0.2970859017753724,0.14752016233589413,0.19371009106027157,0.09513398881236164
27,51.0,0.4298185951546926,0.22167389724210543,0.3024889392382247,0.15036691784594836,0.19743473939428552,0.09695968915255163
28,52.0,0.436652071467186,0.22577754650656692,0.3078628529279367,0.15321063104037577,0.20115084930573024,0.09878546895886797
29,53.0,0.44341080488389495,0.22986970138845067,0.3132074153164869,0.1560512083703401,0.20485826156350145,0.10061125931840735
30,54.0,0.45009467620413157,0.23395000577705868,0.3185223965733927,0.15888855361834603,0.20855687049287805,0.10243699307105007
31,55.0,0.4567037179058033,0.238018424115584,0.3238075406804283,0.1617225682319161,0.21224655906657602,0.10426260475467297
32,56.0,0.4632382052084973,0.24207468631594295,0.3290625698768978,0.1645531516227362,0.2159272002498453,0.10608803054226142
33,57.0,0.4696977787401659,0.24611868128432154,0.3342871886278217,0.1673802014356106,0.2195986582084262,0.10791320817392304
34,58.0,0.476082905109243,0.250150087565143,0.33948108717007236,0.17020361379095644,0.2232607893956681,0.10973807688609152
35,59.0,0.48239366356215607,0.2541689242722979,0.34464420603201584,0.17302328350399684,0.22691344353291082,0.11156257733973238
36,60.0,0.4886301322744415,0.2581749365049794,0.3497762165576537,0.17583924410279247,0.2305566740899517,0.11338665154890727
37,61.0,0.49479258590208913,0.26216792509311554,0.3548769368571373,0.17865129469941934,0.23419017160869046,0.11521024281071025
38,62.0,0.5008812813140426,0.2661477461764176,0.3599460385942703,0.1814593174303208,0.237813855211249,0.11703335663936487
39,63.0,0.5068964634580685,0.27011424658442773,0.36498366378736513,0.18426340784392423,0.24142768806058842,0.11885589553526493
