Displayname,WS.DWD-----MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,Kalt_unten------,GEN.HC-HP--R410a--CALC.POW.H-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-,STO.H---W.H-BOT-MEA.T-,GEN.H-HP--W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-SCC---IN-MEA.CUR-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,STO.EL-INV---OUT-MEA.VOLT-,STO.EL-INV----MEA.VOLT-,STO.EL-SCC----MEA.VOLT-,STO.EL-SCC----CALC.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ZONE---AIR.ID--MEA.T-,ODC---AIR.OD--CALC.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,STO.EL-INV---IN-MEA.CUR-,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,GEN.C-HP--BRINE-SUP-CALC.T-,GEN.EL-PV----MEA.VOLT-,STO.EL-INV---IN-MEA.VOLT-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,STO.C---W.C-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,GEN.HC-HP--R410a--CALC.COP.virt-,GEN.EL-PV----MEA.CUR-,GEN.H-HP--W.H-SUP-MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,STO.EL-INV---IN-MEA.POW.EL-,ODC----HOR-MEA.GLIR-CALC,Warm_unten------,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,Warm_oben------,GEN.H--MTR.H-W.H-RET-MEA.T-
2023-04-07 00:00:00,8.4,0.61,17.32,3.03,373.63,20.83,24.03,0.0,495.17,0.0,25.09,238.0,56.04,56.09,0.0,-0.26,18.78,9.55,13.86,2.57,0.0,18.81,28.13,4.25,6.05,3.0,2.8,16.8,663.6,5.94,0.0,29.04,0.61,0.0,0.0,22.59,0.5,27.67,23.82
2023-04-07 00:15:00,8.3,0.61,17.33,3.0,312.37,20.98,24.53,0.0,495.63,0.0,26.15,237.93,55.98,56.04,0.0,-0.67,18.99,9.34,14.06,2.58,0.0,18.83,29.24,3.82,6.04,3.13,2.34,16.8,660.27,5.82,0.0,29.53,0.49,0.0,0.0,,0.5,28.96,24.33
2023-04-07 00:30:00,8.25,0.22,17.31,0.49,268.37,21.61,25.65,0.0,113.63,0.0,26.43,238.73,56.26,56.32,0.0,1.34,19.25,9.24,13.66,0.93,0.0,18.8,29.18,4.46,6.06,3.27,4.15,16.8,140.23,0.93,0.0,27.51,2.43,0.0,0.0,,0.08,29.08,25.87
2023-04-07 00:45:00,8.3,0.36,17.31,1.5,231.03,22.74,24.41,0.0,404.7,0.0,26.02,238.43,56.19,56.27,0.0,4.55,19.51,9.32,12.26,1.51,0.0,18.79,27.96,6.84,6.14,3.17,7.35,16.8,322.3,2.91,0.0,26.34,5.13,0.0,0.0,,0.24,28.14,24.37
2023-04-07 01:00:00,8.15,0.59,17.31,3.0,131.0,23.45,24.05,0.0,491.65,0.0,25.52,237.92,55.95,55.99,0.0,0.21,19.69,9.5,13.79,2.48,0.0,18.8,28.2,4.6,6.07,3.0,3.21,16.8,667.58,6.08,0.0,29.08,1.11,0.0,0.0,25.54,0.5,28.78,23.76
2023-04-07 01:15:00,8.0,0.25,17.29,0.79,136.7,25.34,23.48,0.0,159.17,0.0,25.45,238.7,56.17,56.24,0.0,1.42,19.75,9.42,13.33,1.06,0.0,18.78,28.37,4.81,6.06,3.07,4.24,16.8,204.07,1.58,0.0,28.18,2.25,0.0,0.0,,0.13,29.44,23.94
2023-04-07 01:30:00,8.05,0.12,17.29,0.0,102.43,24.91,,0.0,11.17,0.0,25.26,238.83,56.36,56.41,0.0,,19.78,9.4,11.57,0.52,0.0,18.79,28.17,,6.14,3.1,,16.8,3.73,0.0,0.0,,,0.0,0.0,,0.0,29.29,24.15
2023-04-07 01:45:00,7.7,0.12,17.29,0.0,98.77,24.26,,0.0,10.5,0.0,25.07,238.73,56.38,56.44,0.0,,19.79,9.4,10.39,0.54,0.0,18.8,27.89,,6.17,3.23,,16.8,0.0,0.0,0.0,,,0.0,0.0,,0.0,29.01,23.74
2023-04-07 02:00:00,7.9,0.12,17.29,0.0,100.03,24.1,,0.0,11.63,0.0,24.93,238.7,56.38,56.44,0.0,,19.79,9.5,10.26,0.53,0.0,18.8,27.65,,6.19,3.14,,16.8,0.0,0.0,0.0,,,0.0,0.0,24.8,0.0,28.7,23.49
2023-04-07 02:15:00,7.8,0.12,17.29,0.0,98.27,23.99,,0.0,11.63,0.0,24.78,238.73,56.38,56.44,0.0,,19.78,9.5,10.15,0.52,0.0,18.79,27.34,,6.21,3.13,,16.8,0.0,0.0,0.0,,,0.0,0.0,,0.0,28.31,23.25
