Displayname,Kalt_oben------,DIST.HC--MTR.HC-W.HC-SUP-MEA.T-,ODC----HOR-MEA.GLIR-CALC,STO.H---W.H-BOT-MEA.T-,GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-,GEN.HC-HP--R410a--CALC.POW.H-,GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-,STO.EL-SCC----CALC.POW.EL-,DIST.HC--MTR.HC-W.HC-RET-MEA.T-,GEN.EL-PV----MEA.VOLT-,GEN.HC-HP.COMP--R410a--CALC.POW.EL-,STO.EL-INV---IN-MEA.CUR-,STO.C---W.C-BOT-MEA.T-,STO.EL-INV---OUT-MEA.POW.EL-,GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-,ODC---AIR.OD--CALC.T-,Kalt_unten------,GEN.H-HP--W.H-RET-MEA.T-,WS.DWD-----MEA.T-,GEN.C-HP--BRINE-RET-CALC.T-,Warm_unten------,GEN.H--MTR.H-W.H-RET-MEA.T-,ODC----VER-MEA.GLIR-CALC,GEN.C-HP--BRINE-SUP-CALC.T-,STO.EL-SCC---IN-MEA.CUR-,ZONE---AIR.ID--MEA.T-,GEN.H--MTR.H-W.H-SUP-CALC.T-,STO.EL-INV---OUT-MEA.CUR-,GEN.HC-HP--R410a--CALC.COP.virt-,STO.EL-SCC----MEA.VOLT-,GEN.EL-PV----MEA.CUR-,STO.EL-INV----MEA.VOLT-,STO.EL-INV---OUT-MEA.VOLT-,GEN.H--MTR.H-W.H-RET-MEA.VF-,STO.EL-INV---IN-MEA.POW.EL-,GEN.H-HP--W.H-SUP-MEA.T-,Warm_oben------,STO.EL-INV---IN-MEA.VOLT-,DIST.HC--MTR.HC-W.HC-RET-MEA.VF-
2023-06-19 00:00:00,14.04,,0.0,47.9,,0.0,0.0,0.0,,6.22,0.0,0.0,12.1,0.12,,23.92,12.83,,21.2,,,,0.0,,0.0,29.39,,0.56,0.0,55.82,0.0,55.78,237.9,0.0,0.0,,50.14,4.0,-1.0
2023-06-19 00:05:00,14.05,,0.0,47.9,,0.0,0.0,0.0,,6.22,0.0,0.0,12.1,0.13,,23.81,12.88,,,,,,0.0,,0.0,29.33,,0.59,0.0,55.81,0.0,55.79,238.0,0.0,0.0,,50.09,4.0,-0.8
2023-06-19 00:10:00,14.09,,0.0,47.9,,0.0,0.0,0.0,,6.23,0.0,0.0,12.15,0.14,,23.73,12.84,,21.1,,,,0.0,,0.0,29.27,,0.56,0.0,55.81,0.0,55.78,237.9,0.0,0.0,,50.08,4.0,-0.5
2023-06-19 00:15:00,14.09,,0.0,47.8,,0.0,0.0,0.0,,6.22,0.0,0.0,12.2,0.14,,23.7,12.87,,,,,,0.0,,0.0,29.21,,0.61,0.0,55.81,0.0,55.79,237.8,0.0,0.0,,50.05,4.0,-0.7
2023-06-19 00:20:00,14.11,,0.0,47.8,,0.0,0.0,0.0,,6.22,0.0,0.0,12.2,0.14,,23.6,12.9,,21.0,,,,0.0,,0.0,29.15,,0.59,0.0,55.81,0.0,55.78,237.9,0.0,0.0,,50.0,4.0,-0.8
2023-06-19 00:25:00,14.17,,0.0,47.8,,0.0,0.0,0.0,,6.22,0.0,0.0,12.2,0.13,,23.59,12.9,,,,,,0.0,,0.0,29.1,,0.61,0.0,55.81,0.0,55.78,238.0,0.0,0.0,,50.0,4.0,-0.8
2023-06-19 00:30:00,14.15,,0.0,47.7,,0.0,0.0,0.0,,6.22,0.0,0.0,12.2,0.13,,23.5,12.91,,20.9,,,,0.0,,0.0,29.04,,0.59,0.0,55.81,0.0,55.78,237.9,0.0,0.0,,50.0,4.0,-0.8
2023-06-19 00:35:00,14.19,,0.0,47.7,,0.0,0.0,0.0,,6.22,0.0,0.0,12.2,0.14,,23.5,12.91,,,,,,0.0,,0.0,28.99,,0.58,0.0,55.81,0.0,55.78,237.9,0.0,0.0,,50.0,4.0,-0.9
2023-06-19 00:40:00,14.22,,0.0,47.68,,0.0,0.0,0.0,,6.22,0.0,0.0,12.2,0.14,,23.42,12.94,,20.8,,,,0.0,,0.0,28.93,,0.62,0.0,55.81,0.0,55.78,237.9,0.0,0.0,,50.0,4.0,-0.6
2023-06-19 00:45:00,14.25,,0.0,47.6,,0.0,0.0,0.0,,6.22,0.0,0.0,12.2,0.14,,23.38,12.94,,,,,,0.0,,0.0,28.88,,0.55,0.0,55.81,0.0,55.78,238.0,0.0,0.0,,49.98,4.0,-0.8
