;wetterstation_exp15;P_Inv_out_exp15;T_1_exp15;HP_Pel_exp15;HM4_VF_exp15;Hot_Tank_exp15;WP_senke_ein_exp15;Pyra1_exp15;HM10_VF_exp15;SCC_Cur_in_exp15;HM4_RET_exp15;U_grid_exp15;U_bat_exp15;SCC_vol_out_exp15;P_PV_exp15;HM1_RET_exp15;Zone_exp15;T_amb_exp15;HM10_RET_exp15;Inv_Cur_Out;PV_Pel_exp15;Inv_Cur_In;T_4_exp15;HM4_SUP_exp15;WP_Quelle_ein_exp15;U_PV_exp15;Inv_Volt_In_exp15;HM1_SUP_exp15;Cold_Tank_exp15;HM1_VF_exp15;COP_exp15;PV_Cur_exp15;WP_senke_aus_exp15;WP_Quelle_aus_exp15;P_Inv_loading_exp15;Pyra2_exp15;T_2_exp15;Pel_exp15;T_3_exp15;HM10_SUP_exp15
Displayname;WS.DWD-----MEA.T-;STO.EL-INV---OUT-MEA.POW.EL-;Kalt_unten------;GEN.HC-HP--R410a--CALC.POW.H-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-;STO.H---W.H-BOT-MEA.T-;GEN.H-HP--W.H-RET-MEA.T-;ODC----VER-MEA.GLIR-CALC;GEN.H--MTR.H-W.H-RET-MEA.VF-;STO.EL-SCC---IN-MEA.CUR-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;STO.EL-INV---OUT-MEA.VOLT-;STO.EL-INV----MEA.VOLT-;STO.EL-SCC----MEA.VOLT-;STO.EL-SCC----CALC.POW.EL-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;ZONE---AIR.ID--MEA.T-;ODC---AIR.OD--CALC.T-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.CUR-;GEN.EL-PV----CALC.POW.EL-;STO.EL-INV---IN-MEA.CUR-;Kalt_oben------;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;GEN.C-HP--BRINE-SUP-CALC.T-;GEN.EL-PV----MEA.VOLT-;STO.EL-INV---IN-MEA.VOLT-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;STO.C---W.C-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;GEN.HC-HP--R410a--CALC.COP.virt-;GEN.EL-PV----MEA.CUR-;GEN.H-HP--W.H-SUP-MEA.T-;GEN.C-HP--BRINE-RET-CALC.T-;STO.EL-INV---IN-MEA.POW.EL-;ODC----HOR-MEA.GLIR-CALC;Warm_unten------;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;Warm_oben------;GEN.H--MTR.H-W.H-RET-MEA.T-
2022/04/24 00:00:00;10.45;0.14;20.61;0.00;121.77;21.31;-99.00;0.00;6.97;0.00;22.13;238.03;56.55;56.59;0.00;-99.00;19.96;12.05;-99.00;0.56;0.00;0.00;21.07;23.60;-99.00;4.66;3.00;-99.00;19.90;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;22.31;0.00;24.30;-99.00
2022/04/24 00:15:00;9.90;0.14;20.59;0.00;121.10;21.40;-99.00;0.00;9.33;0.00;22.04;238.03;56.55;56.59;0.00;-99.00;19.94;11.60;-99.00;0.58;0.00;0.00;21.06;23.39;-99.00;4.65;3.00;-99.00;19.84;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;24.07;-99.00
2022/04/24 00:30:00;9.70;0.14;20.57;0.00;126.67;21.40;-99.00;0.00;10.90;0.00;21.94;238.03;56.54;56.58;0.00;-99.00;19.90;11.17;21.28;0.58;0.00;0.00;21.06;23.18;-99.00;4.66;3.00;-99.00;19.80;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;23.76;21.54
2022/04/24 00:45:00;9.40;0.13;20.56;0.00;150.48;21.40;-99.00;0.00;10.97;0.00;21.83;237.83;56.52;56.57;0.00;-99.00;19.84;10.99;21.27;0.58;0.00;0.00;21.06;22.87;-99.00;4.68;3.00;-99.00;19.80;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;23.28;21.48
2022/04/24 01:00:00;9.30;0.14;20.51;0.00;174.00;21.40;-99.00;0.00;12.11;0.00;21.66;237.96;56.50;56.56;0.00;-99.00;19.77;10.90;21.21;0.60;0.00;0.00;21.07;22.40;-99.00;4.69;3.00;-99.00;19.80;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;22.15;0.00;22.71;21.36
2022/04/24 01:15:00;9.20;0.14;20.57;0.00;171.87;21.38;-99.00;0.00;4.43;0.00;21.40;237.93;56.48;56.56;0.00;-99.00;19.69;10.88;-99.00;0.59;0.00;0.00;21.05;22.03;-99.00;4.69;3.00;-99.00;19.80;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;22.43;-99.00
2022/04/24 01:30:00;9.25;0.14;20.55;0.00;185.77;21.24;-99.00;0.00;1.73;0.00;21.17;238.17;56.48;56.56;0.00;-99.00;19.60;10.80;-99.00;0.60;0.00;0.00;21.03;21.84;-99.00;4.71;3.00;-99.00;19.80;0.00;0.00;0.00;-99.00;-99.00;0.00;0.00;;0.00;22.37;-99.00
2022/04/24 01:45:00;9.30;0.18;20.55;0.29;204.03;21.06;21.15;0.00;168.50;0.00;21.03;237.93;56.44;56.54;0.00;18.59;19.50;10.80;21.00;0.78;0.00;0.00;21.03;21.72;20.71;4.72;3.00;18.68;19.80;47.87;0.41;0.00;21.41;19.61;0.00;0.00;;0.04;22.35;20.85
2022/04/24 02:00:00;9.55;0.58;20.55;3.25;223.17;21.10;21.72;0.00;537.10;0.00;21.55;237.93;56.12;56.17;0.00;2.88;19.38;10.68;26.33;2.43;0.00;0.00;21.01;23.69;7.25;4.71;3.00;5.82;19.80;684.03;6.77;0.00;26.59;3.58;0.00;0.00;22.99;0.50;24.15;21.36
2022/04/24 02:15:00;9.60;0.59;20.52;3.03;238.97;21.33;22.70;0.00;486.53;0.00;23.39;237.90;56.06;56.11;0.00;-0.58;19.24;10.15;27.44;2.48;0.00;0.00;21.00;26.54;3.98;4.73;3.00;2.45;19.80;660.47;6.14;0.00;27.68;1.03;0.00;0.00;;0.50;26.77;22.36
