Displayname,AMB_T,Bat_Pel,Kalt Unten,WP_Qpkt,HM4_Vpkt,WS_T,WP_sek_T_RET,Pyr_ver,HM10_Vpkt,Bat_I,HM4_T_RET,INV_U_OUT,BAT_U,PVT_U_SCC,PVT_Pel,HM1_T_RET,Zone_T,AMB_T2,HM10_T_SUP,INV_I_OUT,INV_I_IN,Kalt Oben,HM4_T_SUP,WP_prim_T_SUP,PVT_U,INV_U_IN,HM1_T_SUP,KS_T,HM1_Vpkt,WP_COP,PVT_I,WP_sek_T_SUP,WP_prim_T_RET,INV_P_IN,Pyr_hor,Warm Unten,WP_Pel,Warm Oben,HM10_T_RET
2022-08-08 00:00:00,18.7,0.12,12.18,0.0,-0.9,30.5,,0.0,0.0,0.0,,237.97,56.47,56.53,0.0,,23.04,20.69,,0.51,0.0,15.77,,,5.14,4.0,,11.46,0.0,0.0,0.0,,,0.0,0.0,31.33,0.0,31.78,
2022-08-08 00:15:00,18.1,0.12,12.2,0.0,-0.7,30.5,,0.0,0.0,0.0,,237.87,56.47,56.53,0.0,,22.97,20.18,,0.51,0.0,15.78,,,5.16,4.0,,11.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,31.75,
2022-08-08 00:30:00,17.5,0.12,12.23,0.0,-0.63,30.44,,0.0,0.0,0.0,,237.93,56.47,56.53,0.0,,22.9,19.92,,0.5,0.0,15.78,,,5.17,4.0,,11.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,31.71,
2022-08-08 00:45:00,17.5,0.12,12.24,0.0,-0.45,30.4,,0.0,0.0,0.0,,237.93,56.48,56.51,0.0,,22.84,19.83,,0.51,0.0,15.79,,,5.15,4.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,,0.0,31.64,
2022-08-08 01:00:00,17.0,0.12,12.3,0.0,-1.22,30.4,,0.0,0.0,0.0,,237.96,56.47,56.5,0.0,,22.78,19.49,,0.51,0.0,15.8,,,5.15,4.0,,11.6,0.0,0.0,0.0,,,0.0,0.0,31.21,0.0,31.6,
2022-08-08 01:15:00,16.7,0.12,12.32,0.0,-1.0,30.4,,0.0,0.0,0.0,,237.97,56.47,56.5,0.0,,22.71,19.13,,0.51,0.0,15.81,,,5.17,4.0,,11.62,0.0,0.0,0.0,,,0.0,0.0,,0.0,31.6,
2022-08-08 01:30:00,16.3,0.12,12.35,0.0,-1.07,30.32,,0.0,0.0,0.0,,238.0,56.47,56.5,0.0,,22.62,18.84,,0.51,0.0,15.82,,,5.18,4.0,,11.7,0.0,0.0,0.0,,,0.0,0.0,,0.0,31.6,
2022-08-08 01:45:00,16.1,0.12,12.39,0.0,-0.7,30.3,,0.0,0.0,0.0,,237.97,56.47,56.5,0.0,,22.52,18.49,,0.51,0.0,15.81,,,5.18,4.0,,11.7,0.0,0.0,0.0,,,0.0,0.0,,0.0,31.6,
2022-08-08 02:00:00,15.85,0.12,12.44,0.0,-1.07,30.3,,0.0,0.0,0.0,,237.97,56.47,56.5,0.0,,22.41,18.1,,0.52,0.0,15.84,,,5.18,4.0,,11.72,0.0,0.0,0.0,,,0.0,0.0,31.1,0.0,31.6,
2022-08-08 02:15:00,15.7,0.12,12.47,0.0,-0.1,30.26,,0.0,0.0,0.0,,237.97,56.47,56.5,0.0,,22.31,17.7,,0.51,0.0,15.86,,,5.19,4.0,,11.8,0.0,0.0,0.0,,,0.0,0.0,,0.0,31.58,
2022-08-08 02:30:00,15.3,0.12,12.5,0.0,-0.33,30.2,,0.0,0.0,0.0,,237.97,56.47,56.47,0.0,,22.18,17.35,,0.51,0.0,15.87,,,5.2,4.0,,11.8,0.0,0.0,0.0,,,0.0,0.0,,0.0,31.57,
2022-08-08 02:45:00,14.9,0.12,12.51,0.0,-0.47,30.2,,0.0,0.0,0.0,,237.93,56.46,56.47,0.0,,22.07,17.0,,0.51,0.0,15.87,,,5.19,4.0,,11.83,0.0,0.0,0.0,,,0.0,0.0,,0.0,31.52,
2022-08-08 03:00:00,14.95,0.12,12.54,0.0,-0.77,30.15,,0.0,0.0,0.0,,237.93,56.42,56.47,0.0,,21.95,16.51,,0.51,0.0,15.89,,,5.19,4.0,,11.9,0.0,0.0,0.0,,,0.0,0.0,30.99,0.0,31.5,
