Displayname,AMB_T,Bat_Pel,Kalt Unten,WP_Qpkt,HM4_Vpkt,WS_T,WP_sek_T_RET,Pyr_ver,HM10_Vpkt,Bat_I,HM4_T_RET,INV_U_OUT,BAT_U,PVT_U_SCC,PVT_Pel,HM1_T_RET,Zone_T,AMB_T2,HM10_T_SUP,INV_I_OUT,INV_I_IN,Kalt Oben,HM4_T_SUP,WP_prim_T_SUP,PVT_U,INV_U_IN,HM1_T_SUP,KS_T,HM1_Vpkt,WP_COP,PVT_I,WP_sek_T_SUP,WP_prim_T_RET,INV_P_IN,Pyr_hor,Warm Unten,WP_Pel,Warm Oben,HM10_T_RET
2021-12-27 00:00:00,7.65,0.16,10.48,0.0,408.87,21.98,,0.0,38.9,0.0,22.07,238.13,56.64,56.67,0.0,,19.23,7.98,21.69,0.66,0.0,11.57,22.84,,4.82,3.0,,9.9,0.0,0.0,0.0,,,0.0,0.0,22.69,0.0,23.43,21.82
2021-12-27 00:15:00,7.1,0.28,10.48,0.94,459.1,21.75,21.91,0.0,286.6,0.0,21.83,238.17,56.53,56.57,0.0,,19.08,7.73,22.3,1.2,0.0,11.62,22.63,16.87,4.85,3.0,,9.9,0.0,1.82,0.0,22.85,16.12,0.0,0.0,,0.13,23.17,21.6
2021-12-27 00:30:00,7.0,0.6,10.02,3.22,486.53,21.7,23.2,0.0,502.63,0.0,23.3,237.97,56.17,56.23,0.0,2.31,18.89,7.61,28.23,2.52,0.0,11.28,26.07,6.34,4.89,3.0,4.5,9.6,559.83,6.48,0.0,28.45,2.97,0.0,0.0,,0.5,24.6,22.93
2021-12-27 00:45:00,7.1,0.63,9.75,2.96,428.45,21.7,25.45,0.0,473.69,0.0,25.93,237.9,56.1,56.13,0.0,-1.2,18.8,7.42,30.3,2.63,0.0,10.92,29.22,3.32,4.86,3.0,1.79,9.4,650.62,5.61,0.0,30.44,1.11,0.0,0.0,,0.5,27.09,25.31
2021-12-27 01:00:00,7.1,0.63,9.76,3.0,355.52,21.7,25.9,0.0,493.59,0.0,27.31,237.93,56.04,56.09,0.0,-0.63,19.01,7.47,30.74,2.64,0.0,10.91,30.64,3.84,4.89,3.0,2.46,9.4,655.7,5.66,0.0,30.91,0.46,0.0,0.0,23.45,0.5,30.41,25.65
2021-12-27 01:15:00,6.9,0.63,9.81,3.01,296.87,21.74,25.59,0.0,500.1,0.0,27.61,237.87,56.03,56.06,0.0,-0.47,19.33,7.64,30.27,2.63,0.0,10.93,30.79,4.0,4.94,3.0,2.55,9.4,656.5,5.73,0.0,30.52,0.42,0.0,0.0,,0.5,31.07,25.27
2021-12-27 01:30:00,6.9,0.19,9.85,0.29,264.93,22.56,26.57,0.0,84.67,0.0,27.35,238.17,56.35,56.39,0.0,2.57,19.64,7.78,28.52,0.82,0.0,10.99,30.18,5.02,4.96,3.0,5.42,9.4,75.63,0.54,0.0,27.94,2.98,0.0,0.0,,0.06,30.56,26.77
2021-12-27 01:45:00,7.0,0.16,9.91,0.0,258.6,23.57,,0.0,162.5,0.0,26.52,238.43,56.43,56.48,0.0,15.92,19.9,8.15,24.63,0.69,0.0,11.02,28.17,,4.98,3.0,8.57,9.4,15.57,0.0,0.0,,,0.0,0.0,,0.0,28.84,25.96
2021-12-27 02:00:00,7.35,0.16,9.94,0.0,252.23,24.01,,0.0,130.0,0.0,25.45,238.17,56.46,56.49,0.0,,20.1,8.47,24.42,0.69,0.0,11.05,26.65,,4.96,3.0,,9.45,4.0,0.0,0.0,,,0.0,0.0,25.14,0.0,27.34,25.1
2021-12-27 02:15:00,7.5,0.16,9.98,0.0,232.1,24.1,,0.0,156.43,0.0,24.57,238.1,56.46,56.5,0.0,,20.17,8.55,24.02,0.68,0.0,11.08,25.63,,4.97,3.0,,9.5,0.0,0.0,0.0,,,0.0,0.0,,0.0,26.39,24.4
