;T_4_exp15;HM10_VF_exp15;HM1_VF_exp15;COP_exp15;T_amb_exp15;P_Inv_loading_exp15;HM10_RET_exp15;P_Inv_out_exp15;WP_senke_ein_exp15;T_3_exp15;Inv_Cur_Out;Inv_Cur_In;Zone_exp15;U_PV_exp15;SCC_vol_out_exp15;Pel_exp15;HM4_RET_exp15;U_grid_exp15;PV_Pel_exp15;WP_Quelle_ein_exp15;P_PV_exp15;HM10_SUP_exp15;T_1_exp15;U_bat_exp15;HM4_SUP_exp15;PV_Cur_exp15;T_2_exp15;WP_Quelle_aus_exp15;Pyra2_exp15;Cold_Tank_exp15;HM4_VF_exp15;Hot_Tank_exp15;HM1_SUP_exp15;HM1_RET_exp15;Inv_Volt_In_exp15;wetterstation_exp15;HP_Pel_exp15;WP_senke_aus_exp15;Pyra1_exp15;SCC_Cur_in_exp15
Displayname;Kalt_oben------;GEN.H--MTR.H-W.H-RET-MEA.VF-;GEN.HC-SCOL-MTR.HC-BRINE-RET-MEA.VF-;GEN.HC-HP--R410a--CALC.COP.virt-;ODC---AIR.OD--CALC.T-;STO.EL-INV---IN-MEA.POW.EL-;GEN.H--MTR.H-W.H-SUP-CALC.T-;STO.EL-INV---OUT-MEA.POW.EL-;GEN.H-HP--W.H-RET-MEA.T-;Warm_oben------;STO.EL-INV---OUT-MEA.CUR-;STO.EL-INV---IN-MEA.CUR-;ZONE---AIR.ID--MEA.T-;GEN.EL-PV----MEA.VOLT-;STO.EL-SCC----MEA.VOLT-;GEN.HC-HP.COMP--R410a--CALC.POW.EL-;DIST.HC--MTR.HC-W.HC-RET-MEA.T-;STO.EL-INV---OUT-MEA.VOLT-;GEN.EL-PV----CALC.POW.EL-;GEN.C-HP--BRINE-SUP-CALC.T-;STO.EL-SCC----CALC.POW.EL-;GEN.H--MTR.H-W.H-RET-MEA.T-;Kalt_unten------;STO.EL-INV----MEA.VOLT-;DIST.HC--MTR.HC-W.HC-SUP-MEA.T-;GEN.EL-PV----MEA.CUR-;Warm_unten------;GEN.C-HP--BRINE-RET-CALC.T-;ODC----HOR-MEA.GLIR-CALC;STO.C---W.C-BOT-MEA.T-;DIST.HC--MTR.HC-W.HC-RET-MEA.VF-;STO.H---W.H-BOT-MEA.T-;GEN.HC-SCOL-MTR.HC-BRINE-SUP-CALC.T-;GEN.HC-SCOL-MTR.HC-BRINE-RET-CALC.T-;STO.EL-INV---IN-MEA.VOLT-;WS.DWD-----MEA.T-;GEN.HC-HP--R410a--CALC.POW.H-;GEN.H-HP--W.H-SUP-MEA.T-;ODC----VER-MEA.GLIR-CALC;STO.EL-SCC---IN-MEA.CUR-
2023/07/23 00:00:00;16.25;0.00;0.00;0.00;20.07;0.00;-99.00;0.14;-99.00;34.90;0.62;0.00;19.21;5.95;55.97;0.00;16.29;238.10;0.00;-99.00;0.00;-99.00;15.60;55.95;15.08;0.00;34.20;-99.00;0.00;14.95;74.77;33.30;-99.00;-99.00;3.38;18.10;0.00;-99.00;0.00;0.00
2023/07/23 00:15:00;16.33;0.00;0.00;0.00;19.75;0.00;-99.00;0.14;-99.00;34.90;0.58;0.00;19.17;5.95;55.97;0.00;-99.00;238.07;0.00;-99.00;0.00;-99.00;15.67;55.95;-99.00;0.00;34.10;-99.00;0.00;15.00;-0.73;33.30;-99.00;-99.00;3.71;18.00;0.00;-99.00;0.00;0.00
2023/07/23 00:30:00;16.36;0.00;0.00;0.00;19.35;0.00;-99.00;0.14;-99.00;34.90;0.61;0.00;19.20;5.95;55.97;0.00;17.42;238.57;0.00;-99.00;0.00;-99.00;15.70;55.95;16.10;0.00;34.10;-99.00;0.00;15.00;11.20;33.30;-99.00;-99.00;3.88;17.75;0.00;-99.00;0.00;0.00
2023/07/23 00:45:00;16.49;0.00;0.00;0.00;19.01;0.00;-99.00;0.15;-99.00;34.89;0.62;0.00;19.24;5.97;55.96;0.00;17.71;238.36;0.00;-99.00;0.00;-99.00;15.76;55.89;15.65;0.00;34.07;-99.00;0.00;15.05;58.46;33.24;-99.00;-99.00;3.86;17.90;0.00;-99.00;0.00;0.00
2023/07/23 01:00:00;16.88;0.00;0.00;0.00;18.79;0.00;-99.00;0.14;-99.00;34.83;0.64;0.00;19.27;5.98;55.94;0.00;17.30;237.96;0.00;-99.00;0.00;-99.00;15.83;55.88;15.31;0.00;34.04;-99.00;0.00;15.16;116.33;33.20;-99.00;-99.00;3.75;17.50;0.00;-99.00;0.00;0.00
2023/07/23 01:15:00;17.31;0.00;0.00;0.00;18.50;0.00;-99.00;0.15;-99.00;34.84;0.61;0.00;19.23;5.98;55.94;0.00;16.91;238.10;0.00;-99.00;0.00;-99.00;15.94;55.86;15.41;0.00;34.00;-99.00;0.00;15.33;100.97;33.20;-99.00;-99.00;3.86;17.30;0.00;-99.00;0.00;0.00
2023/07/23 01:30:00;17.49;0.00;0.00;0.00;18.21;0.00;-99.00;0.14;-99.00;34.80;0.62;0.00;19.17;5.98;55.94;0.00;17.19;238.07;0.00;-99.00;0.00;-99.00;16.07;55.86;15.59;0.00;34.00;-99.00;0.00;15.40;25.40;33.16;-99.00;-99.00;4.00;17.20;0.00;-99.00;0.00;0.00
2023/07/23 01:45:00;17.50;0.00;0.00;0.00;17.95;0.00;-99.00;0.14;-99.00;34.79;0.60;0.00;19.12;5.99;55.94;0.00;-99.00;238.23;0.00;-99.00;0.00;-99.00;16.10;55.89;-99.00;0.00;33.99;-99.00;0.00;15.40;-0.67;33.10;-99.00;-99.00;3.86;17.10;0.00;-99.00;0.00;0.00
2023/07/23 02:00:00;17.50;0.00;0.00;0.00;17.75;0.00;-99.00;0.14;-99.00;34.70;0.57;0.00;19.11;5.99;55.94;0.00;-99.00;238.40;0.00;-99.00;0.00;-99.00;16.10;55.87;-99.00;0.00;33.90;-99.00;0.00;15.40;-0.80;33.10;-99.00;-99.00;3.88;16.95;0.00;-99.00;0.00;0.00
