Displayname,Kalt Oben,HM10_Vpkt,HM1_Vpkt,WP_COP,AMB_T2,INV_P_IN,HM10_T_SUP,Bat_Pel,WP_sek_T_RET,Warm Oben,INV_I_OUT,INV_I_IN,Zone_T,PVT_U,PVT_U_SCC,WP_Pel,HM4_T_RET,INV_U_OUT,WP_prim_T_SUP,PVT_Pel,HM10_T_RET,Kalt Unten,BAT_U,HM4_T_SUP,PVT_I,Warm Unten,WP_prim_T_RET,Pyr_hor,KS_T,HM4_Vpkt,WS_T,HM1_T_SUP,HM1_T_RET,INV_U_IN,AMB_T,WP_Qpkt,WP_sek_T_SUP,Pyr_ver,Bat_I,HM1_Qpkt,HM4_Qpkt,HM4_B,WS_theta,KS_theta,TABS_theta_in,TABS_theta_out,TABS_Vpkt,TABS_Qpkt,BAT_SOC,s_PVT_Pel,PVT_theta_in,PVT_theta_out,PVT_Qpkt,PVT_theta_cell,s_WP_COP,s_WP_Pel,s_WP_Qdot_prim,s_WP_Qdot_sec,s_WP_prim_theta_in,s_WP_prim_theta_out,s_WP_sek_theta_in,s_WP_sek_theta_out,s_WP_prim_Vpkt,s_WP_sek_Vpkt,sun_h,sun_az,i_dif,i_dir,s_B_theta_m,s_B_theta_s,s_B_theta_air,s_B_theta_operativ
2023-07-12 00:00:00,14.75,0.0,0.0,0.0,23.02,0.0,,0.15,,33.38,0.64,0.0,22.67,7.35,56.72,,,238.23,,0.0,,13.24,56.64,,0.0,33.29,,0.0,12.54,0.0,32.41,,,4.0,20.5,,,0.0,0.0,,,,"[33.29, 33.32, 33.35, 33.38]","[13.24, 13.455714285714286, 13.67142857142857, 13.887142857142857, 14.102857142857143, 14.31857142857143, 14.534285714285714, 14.75]",,,0.0,,0.5343845000000009,0.0,20.0,20.44062701309857,0.0,20.220313506549285,,,,,,,,,,,0.0,304.7431334614589,0.0,0.0,22.67,22.862788220844678,23.05446718157458,22.920291909063646
2023-07-12 00:15:00,14.76,0.0,0.0,0.0,21.66,0.0,,0.14,,32.9,0.57,0.0,22.67,7.76,56.7,,,238.0,,0.0,,13.27,56.64,,0.0,32.64,,0.0,12.6,0.0,31.84,,,4.0,20.6,,,0.0,0.0,,,,"[33.25452132073786, 33.28411669192, 33.314145041086675, 33.344000791031426]","[13.27455895091193, 13.487133053883005, 13.701625201202328, 13.916615357577415, 14.131605504324913, 14.346594982974073, 14.561538099471761, 14.773263951440018]",,,0.0,,0.5300095000000009,0.0,20.220313506549285,20.5549137575954,0.0,20.387613632072345,,,,,,,,,,,0.0,304.7431334614589,0.0,0.0,22.674116971412086,22.864431490218728,23.056270714147853,22.921983257397464
2023-07-12 00:30:00,14.76,0.0,0.0,0.0,21.37,0.0,,0.13,,32.9,0.59,0.0,22.71,6.56,56.69,,,238.2,,0.0,,13.29,56.65,,0.0,32.52,,0.0,12.6,0.0,31.71,,,4.0,20.3,,,0.0,0.0,,,,"[33.21929409781613, 33.24849062623809, 33.278544112482955, 33.30825678553961]","[13.309090452804515, 13.518608035638131, 13.73186195187066, 13.946123232664165, 14.160391643238116, 14.374657456818083, 14.588787936263966, 14.79664157535179]",,,0.0,,0.5259470000000009,0.0,20.387613632072345,20.31040376605884,-0.0,20.349008699065593,,,,,,,,,,,0.0,304.7431334614589,0.0,0.0,22.673569083631023,22.863551000578322,23.054902836919688,22.92095655148073
2023-07-12 00:45:00,14.8,0.0,0.0,0.0,21.01,0.0,,0.13,,32.9,0.57,0.0,22.75,6.08,56.66,,,238.6,,0.0,,13.31,56.64,,0.0,32.5,,0.0,12.6,0.0,31.7,,,4.0,20.3,,,0.0,0.0,,,,"[33.184317509705025, 33.21312090368285, 33.243196377317304, 33.27276712404424]","[13.343595811596003, 13.550137626738632, 13.762138853966261, 13.9756664661757, 14.189215406204346, 14.402758139750238, 14.616037475684676, 14.82013080584496]",,,0.0,,0.5218845000000009,0.0,20.349008699065593,20.30581958569536,-0.0,20.327414142380476,,,,,,,,,,,0.0,304.7431334614589,0.0,0.0,22.673029599916788,22.863012116069363,23.054364830473215,22.92041793039052
2023-07-12 01:00:00,14.8,0.0,0.0,0.0,20.57,0.0,,0.13,,32.9,0.57,0.0,22.8,6.07,56.66,,,238.4,,0.0,,13.3,56.61,,0.0,32.5,,0.0,12.69,0.0,31.7,,,4.0,20.4,,,0.0,0.0,,,,"[33.149624247840165, 33.17804032213758, 33.20813457256137, 33.237564460523814]","[13.378109613930015, 13.581754341887294, 13.792489482573439, 14.00527860946957, 14.218110203933145, 14.43092994171705, 14.643322422849637, 14.84376297389935]",,,0.0,,0.5178220000000009,0.0,20.327414142380476,20.39138072165266,0.0,20.359397432016568,,,,,,,,,,,0.0,55.48081054047003,0.0,0.0,22.67403229430824,22.864124766899835,23.055638609096764,22.921578919558915
2023-07-12 01:15:00,14.8,0.0,0.0,0.0,20.36,0.0,,0.13,,32.9,0.56,0.0,22.83,6.01,56.63,,,238.2,,0.0,,13.4,56.55,,0.0,32.44,,0.0,12.7,0.0,31.7,,,4.0,20.2,,,0.0,0.0,,,,"[33.115146363006595, 33.14318048751679, 33.17329061117783, 33.20258080834617]","[13.412566319142352, 13.613388481913097, 13.822846577712472, 14.034892392822442, 14.247008623766506, 14.45910500151891, 14.670577564575359, 14.867469387607818]",,,0.0,,0.5137595000000009,0.0,20.359397432016568,20.21892780328649,-0.0,20.289162617651527,,,,,,,,,,,0.0,55.48081054047003,0.0,0.0,22.671951802442685,22.861824445573344,23.05301615442172,22.919181958227856
2023-07-12 01:30:00,14.8,0.0,0.0,0.0,20.19,0.0,,0.13,,32.9,0.56,0.0,22.84,5.99,56.62,,,238.2,,0.0,,13.4,56.57,,0.0,32.41,,0.0,12.7,0.0,31.63,,,4.0,20.1,,,0.0,0.0,,,,"[33.08081613206728, 33.10847323890018, 33.13859663395153, 33.167748408339335]","[13.446900544633818, 13.644970678343974, 13.853143069869951, 14.064440770361458, 14.275843475584123, 14.487215728993725, 14.697737819174982, 14.891181634491748]",,,0.0,,0.5096970000000008,0.0,20.289162617651527,20.122462299240134,-0.0,20.20581245844583,,,,,,,,,,,0.0,55.48081054047003,0.0,0.0,22.66836932035413,22.858134872419402,23.049169652331383,22.915445306392996
2023-07-12 01:45:00,14.8,0.0,0.0,0.0,20.0,0.0,,0.13,,32.9,0.58,0.0,22.87,5.96,56.61,,,238.13,,0.0,,13.4,56.56,,0.0,32.4,,0.0,12.74,0.0,31.6,,,4.0,20.3,,,0.0,0.0,,,,"[33.046700099215805, 33.073985422174786, 33.104119294113666, 33.13313377001516]","[13.481180377134343, 13.676568084515878, 13.883446357465575, 14.093991194435548, 14.304682067343796, 14.5153290768755, 14.724872501809203, 14.914964887707393]",,,0.0,,0.5056345000000009,0.0,20.20581245844583,20.288815608658048,0.0,20.247314033551937,,,,,,,,,,,0.0,55.48081054047003,0.0,0.0,22.66790959596215,22.85789779890993,23.049258846620763,22.915306113223178
2023-07-12 02:00:00,14.83,0.0,0.0,0.0,20.0,0.0,,0.13,,32.9,0.57,0.0,22.87,5.95,56.59,,,238.07,,0.0,,13.43,56.56,,0.0,32.4,,0.0,12.8,0.0,31.6,,,4.0,20.3,,,0.0,0.0,,,,"[33.01269703427312, 33.03961518811907, 33.069757164599835, 33.09863562805261]","[13.51530702630377, 13.708077395982755, 13.91365576535492, 14.123443043560762, 14.333423634067781, 14.5433439665931, 14.751882775203494, 14.938717526725057]",,,0.0,,0.5015720000000008,0.0,20.247314033551937,20.293743753608382,0.0,20.27052889358016,,,,,,,,,,,0.0,55.48081054047003,0.0,0.0,22.66745692329617,22.85744562902808,23.04880741350793,22.914854164372034
2023-07-12 02:15:00,14.83,0.0,0.0,0.0,20.0,0.0,,0.12,,32.9,0.52,0.0,22.88,5.96,56.59,,,238.1,,0.0,,13.49,56.55,,0.0,32.4,,0.0,12.8,0.0,31.6,,,4.0,20.4,,,0.0,0.0,,,,"[32.97884008601317, 33.00539580891888, 33.035543443268196, 33.064287097870064]","[13.549315274802316, 13.739531957813847, 13.94380519480202, 14.152830306779526, 14.362102022723425, 14.571293969972425, 14.778804323832508, 14.962471619375455]",,,0.0,,0.4978220000000008,0.0,20.27052889358016,20.38462582738884,0.0,20.3275773604845,,,,,,,,,,,0.0,55.48081054047003,0.0,0.0,22.668545097138647,22.858643664367435,23.050166437514196,22.91610049631146
