,RG,IS,MM,DD,HH,N,WR,WG,t,p,x,RF,W,B,D,IK,A,E,IL,sun_az,sun_h
0,12.0,1.0,1.0,1.0,1.0,8.0,230.0,4.5,6.5,993.6,4.3,84.0,2.0,0.0,0.0,9.0,320.0,-334.0,9.0,0.0,0.0
1,12.0,1.0,1.0,1.0,2.0,7.0,210.0,4.3,5.2,988.0,4.5,85.0,-1.0,0.0,0.0,9.0,303.0,-334.0,9.0,0.0,0.0
2,12.0,1.0,1.0,1.0,3.0,7.0,190.0,4.1,4.4,984.1,4.5,87.0,-1.0,0.0,0.0,9.0,287.0,-332.0,9.0,0.0,0.0
3,12.0,1.0,1.0,1.0,4.0,7.0,200.0,4.4,4.4,984.1,4.6,86.0,-1.0,0.0,0.0,9.0,304.0,-335.0,9.0,0.0,0.0
4,12.0,1.0,1.0,1.0,5.0,7.0,260.0,4.4,4.4,984.4,4.7,86.0,80.0,0.0,0.0,9.0,324.0,-337.0,9.0,0.0,0.0
5,12.0,1.0,1.0,1.0,6.0,8.0,300.0,4.0,4.1,984.7,4.6,88.0,25.0,0.0,0.0,9.0,320.0,-334.0,9.0,0.0,0.0
6,12.0,1.0,1.0,1.0,7.0,3.0,320.0,4.0,3.9,985.9,4.4,85.0,1.0,0.0,0.0,9.0,255.0,-329.0,9.0,0.0,0.0
7,12.0,1.0,1.0,1.0,8.0,6.0,310.0,4.0,3.1,987.2,4.0,84.0,-1.0,0.0,0.0,9.0,261.0,-325.0,9.0,0.0,0.0
8,12.0,1.0,1.0,1.0,9.0,5.0,280.0,3.0,2.8,988.3,3.9,82.0,-1.0,3.0,28.0,9.0,254.0,-324.0,9.0,132.63841362273462,4.317194863093897
9,12.0,1.0,1.0,1.0,10.0,6.0,300.0,4.0,3.5,989.5,3.8,78.0,-1.0,0.0,39.0,9.0,259.0,-327.0,9.0,144.894337741634,10.870926511839626
10,12.0,1.0,1.0,1.0,11.0,7.0,260.0,2.0,3.8,990.7,3.9,77.0,25.0,0.0,58.0,9.0,300.0,-331.0,9.0,158.21162806536205,15.610281290213528
11,12.0,1.0,1.0,1.0,12.0,6.0,240.0,3.0,4.2,991.0,3.9,76.0,15.0,8.0,108.0,9.0,276.0,-331.0,9.0,172.39011547929468,18.136317426475365
12,12.0,1.0,1.0,1.0,13.0,7.0,270.0,4.0,4.1,991.1,4.0,78.0,80.0,0.0,64.0,9.0,302.0,-333.0,9.0,186.91453971227733,18.196739515824234
13,12.0,1.0,1.0,1.0,14.0,7.0,310.0,5.0,4.2,991.2,4.0,77.0,87.0,17.0,75.0,9.0,302.0,-333.0,9.0,201.12358766738535,15.785120926646888
